/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 73.12it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 69.49it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Caching is incompatible with gradient checkpointing in Qwen3DecoderLayer. Setting `past_key_values=None`.
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[search_qa:sdar:qwen3_1b7] step 80/150 loss=-13.0000 reward=0.000 gate=1.000 opsd=-130.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 81/150 loss=-13.3125 reward=0.250 gate=1.000 opsd=-133.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 82/150 loss=-13.3125 reward=0.000 gate=1.000 opsd=-133.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 83/150 loss=-13.5000 reward=0.000 gate=1.000 opsd=-135.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 84/150 loss=-13.5000 reward=0.000 gate=1.000 opsd=-135.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 85/150 loss=-13.1250 reward=0.000 gate=1.000 opsd=-131.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 86/150 loss=-13.1875 reward=0.000 gate=1.000 opsd=-132.0000 wall=4.1s
[search_qa:sdar:qwen3_1b7] step 87/150 loss=-13.5000 reward=0.250 gate=1.000 opsd=-135.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 88/150 loss=-13.1250 reward=0.000 gate=1.000 opsd=-131.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 89/150 loss=-13.1875 reward=0.000 gate=1.000 opsd=-132.0000 wall=4.3s
[search_qa:sdar:qwen3_1b7] step 90/150 loss=-12.8750 reward=0.000 gate=1.000 opsd=-129.0000 wall=3.6s
[search_qa:sdar:qwen3_1b7] step 91/150 loss=-11.0000 reward=0.000 gate=1.000 opsd=-110.0000 wall=4.7s
[search_qa:sdar:qwen3_1b7] step 92/150 loss=-13.3750 reward=0.000 gate=1.000 opsd=-134.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 93/150 loss=-13.3125 reward=0.000 gate=1.000 opsd=-133.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 94/150 loss=-13.6250 reward=0.000 gate=1.000 opsd=-136.0000 wall=4.2s
[search_qa:sdar:qwen3_1b7] step 95/150 loss=-13.6250 reward=0.000 gate=1.000 opsd=-136.0000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 96/150 loss=-13.5000 reward=0.000 gate=1.000 opsd=-135.0000 wall=4.5s
[search_qa:sdar:qwen3_1b7] step 97/150 loss=-13.8750 reward=0.000 gate=1.000 opsd=-139.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 98/150 loss=-14.0000 reward=0.000 gate=1.000 opsd=-140.0000 wall=4.4s
[search_qa:sdar:qwen3_1b7] step 99/150 loss=-14.0000 reward=0.000 gate=1.000 opsd=-140.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 100/150 loss=-13.8750 reward=0.000 gate=1.000 opsd=-139.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 101/150 loss=-14.1250 reward=0.000 gate=1.000 opsd=-141.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 102/150 loss=-14.0000 reward=0.000 gate=1.000 opsd=-140.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 103/150 loss=-13.1875 reward=0.000 gate=1.000 opsd=-132.0000 wall=3.6s
